state,prelim_notice_required,prelim_notice_deadline,lien_filing_deadline,enforcement_deadline,homestead_or_residential_note,tree_service_note,source_url,last_verified
Alabama,Varies by role; preliminary notice not generally required on private work,N/A,GC: 6 months; Subs/Suppliers: 4 months from last furnishing,Lien effective 6 months; action generally within 6 months of debt due,Residential not unique; county recording. Verify county probate office filing rules.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/alabama-lien-law-faqs/,2025-08-24
Georgia,Often; subs/suppliers typically send 30-day Notice to Contractor after receiving a Notice of Commencement; not always for GCs,Within 30 days after first delivery if Notice of Commencement posted (project-dependent),90 days from last furnishing (all roles),Suit to enforce within 1 year of filing (may be shortened by contest),"Homestead/residential not unique, but strict notice language & 2-day copy to owner when filing.",Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/blog/how-to-file-mechanics-lien-georgia/,2025-08-24
Florida,Yes for most not-in-privity claimants: Notice to Owner (NTO),NTO within 45 days of first furnishing (earlier recommended),90 days from last furnishing,Foreclose within 1 year of filing (can be shortened by owner’s notice),Owner-occupied single family has service nuances; follow statute mailing/service rules strictly.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/preliminary-notice/florida-preliminary-notice-faqs/,2025-08-24
South Carolina,"No general prelim notice for private; certain lower-tier notices apply (e.g., lien upon funds)",N/A,90 days from last furnishing,Enforce within 6 months of last furnishing,Third-tier 'Notice of Lien Upon Funds' available in some cases.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/south-carolina-lien-law-faqs/,2025-08-24
North Carolina,Notice to Lien Agent (NCLA) often required on private projects with appointed lien agent,Within 15 days of first furnishing when an agent is designated,120 days from last furnishing,Enforce within 180 days of last furnishing,Lien Agent system is unique; confirm whether agent was designated.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/preliminary-notice/north-carolina-preliminary-notice-faqs/,2025-08-24
Tennessee,Some project/role-specific notices; generally notice of nonpayment may apply,Varies; see role-specific rules,Generally 90 days from completion/last furnishing,Commonly 90 days after last furnishing (role-dependent),Residential and remote contractor rules differ; confirm before filing.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/tennessee-lien-law-faqs/,2025-08-24
Texas,Yes (monthly fund-trapping notices for non-privity claimants),2nd & 3rd month notices by the 15th day of the following month(s); complex by role/project type,Residential: 15th day of 3rd month; Commercial: 15th day of 4th month after last month of furnishing,Generally within 1 year of the last date the lien could be filed; special rules apply,Texas has unique monthly notice scheme; track each month’s unpaid work.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/texas-lien-law-faqs/,2025-08-24
Louisiana,"Yes for many roles (e.g., Notice of Nonpayment/Intent); contract/termination notices can control deadlines",Often 10 days NOI before filing (role-specific),If Notice of Contract filed: 30 days after Notice of Termination; otherwise 60 days (varies by role),Varies by circumstance; consult current statute post-2020 updates,Louisiana uses Notice of Contract/Termination framework; deadlines are triggered by filings.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/news/louisiana-mechanics-lien-rules-updated/,2025-08-24
Mississippi,Generally none pre-work; residential subs must give 10‑day pre-lien notice before filing,Residential subs: 10 days before lien; commercial sub-sub must give 30‑day early notice to GC after starting work,90 days from last furnishing,File suit within 180 days of filing (90 if owner contests),Residential pre-lien notice is required for subs.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.butlersnow.com/news-and-events/deadlines-for-mechanics-liens-and-construction-liens-mississippi,2025-08-24
Arkansas,Preliminary notice often required (10‑day NOI before filing),Notice of Intent at least 10 days before filing lien,120 days from last substantial work,Generally 15 months after recording (verify current statute),Owner-occupied residence has special notice/contract requirements.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/arkansas-lien-law-faqs/,2025-08-24
Oklahoma,Prelim notice varies by tier; not universally required on private,N/A (role-dependent notices may apply),GCs: 4 months; others: 90 days from last furnishing,Enforce within 1 year of filing,Residential forms differ for subs vs. GCs.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/oklahoma-lien-law-faqs/,2025-08-24
Kentucky,Generally no preliminary notice pre-work; some notices apply on residential,N/A,6 months from last furnishing (all claimants),Varies; enforcement generally tied to filing date—consult counsel,County clerk recording nuances; watch for owner-occupied rules.,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/kentucky-lien-law-faqs/,2025-08-24
Alaska,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Arizona,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
California,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Colorado,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Connecticut,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Delaware,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
District of Columbia,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Hawaii,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Idaho,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Illinois,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Indiana,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Iowa,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Kansas,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Maine,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Maryland,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Massachusetts,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Michigan,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Minnesota,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Missouri,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Montana,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Nebraska,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Nevada,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
New Hampshire,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
New Jersey,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
New Mexico,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
New York,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
North Dakota,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Ohio,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Oregon,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Pennsylvania,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Rhode Island,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
South Dakota,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Utah,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Vermont,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Virginia,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Washington,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
West Virginia,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Wisconsin,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
Wyoming,TBD – verify for project role,TBD,TBD,TBD,TBD,Emergency tree removal typically qualifies as labor for private property liens; verify contractor licensing & any municipal permitting.,https://www.levelset.com/mechanics-lien/,2025-08-24
